No.,Time,Source,Destination,Protocol,Length,Info,,,,TIME 1 ,TIME 2,DELAY ,delay 2,delay 1,jitter
152,80.20435,192.168.100.41,93.184.216.34,TCP,54,52965  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
155,80.20768,192.168.100.41,93.184.216.34,TCP,66,52966  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
156,80.207994,93.184.216.34,192.168.100.41,TCP,62,"80  >  52966 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
157,80.208913,192.168.100.41,93.184.216.34,TCP,54,52966  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
158,80.211061,192.168.100.41,93.184.216.34,TCP,54,"52966  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
159,80.211371,93.184.216.34,192.168.100.41,TCP,54,80  >  52966 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
160,80.211573,93.184.216.34,192.168.100.41,TCP,54,"80  >  52966 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
161,85.218312,192.168.100.41,93.184.216.34,TCP,54,52966  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
162,85.221693,192.168.100.41,93.184.216.34,TCP,66,52967  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
163,85.222014,93.184.216.34,192.168.100.41,TCP,62,"80  >  52967 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
164,85.222931,192.168.100.41,93.184.216.34,TCP,54,52967  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
165,85.224868,192.168.100.41,93.184.216.34,TCP,54,"52967  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
166,85.225178,93.184.216.34,192.168.100.41,TCP,54,80  >  52967 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
167,85.225378,93.184.216.34,192.168.100.41,TCP,54,"80  >  52967 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
168,90.232313,192.168.100.41,93.184.216.34,TCP,54,52967  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
169,90.233567,192.168.100.41,93.184.216.34,TCP,66,52968  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,
170,90.233753,40.90.189.152,192.168.100.41,TCP,54,[TCP Dup ACK 2#3] 443  >  58153 [ACK] Seq=1 Ack=1 Win=12061 Len=0,,,,,,,,,
171,90.236436,192.168.100.41,40.90.189.152,TCP,54,[TCP Dup ACK 3#3] [TCP ACKed unseen segment] 58153  >  443 [ACK] Seq=179943468 Ack=1297691774 Win=509 Len=0,,,,,,,,,
172,90.236751,93.184.216.34,192.168.100.41,TCP,62,"80  >  52968 [SYN, ACK] Seq=0 Ack=1 Win=4236 Len=0 MSS=1412 SACK_PERM=1",,,,,,,,,
173,90.237666,192.168.100.41,93.184.216.34,TCP,54,52968  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,,,,,,,,,
174,90.239693,192.168.100.41,93.184.216.34,TCP,54,"52968  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0",,,,,,,,,
175,90.240002,93.184.216.34,192.168.100.41,TCP,54,80  >  52968 [ACK] Seq=1 Ack=2 Win=4236 Len=0,,,,,,,,,
176,90.240203,93.184.216.34,192.168.100.41,TCP,54,"80  >  52968 [FIN, ACK] Seq=1 Ack=2 Win=4236 Len=0",,,,,,,,,
177,95.246225,192.168.100.41,93.184.216.34,TCP,54,52968  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0,,,,,,,,,
